epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1677.25,0.32753,0.35357,0.96736,0.88367,0.78195,0.85083,0.80797,0.3279,0.70308,0.9304,0.000225318,0.000225318,0.000225318
77,1699.28,0.32793,0.34683,0.97405,0.81305,0.8618,0.86414,0.81522,0.34804,0.63682,0.94256,0.000216817,0.000216817,0.000216817
78,1720.35,0.32382,0.32821,0.96703,0.91131,0.80584,0.85465,0.82524,0.31367,0.62909,0.89452,0.000208414,0.000208414,0.000208414
79,1742.31,0.31931,0.33004,0.96481,0.92593,0.82788,0.87202,0.84303,0.30829,0.57179,0.93421,0.000200116,0.000200116,0.000200116
80,1764.46,0.32112,0.33129,0.96389,0.85213,0.83834,0.87479,0.84122,0.30825,0.59519,0.8926,0.000191928,0.000191928,0.000191928
81,1785.8,0.31947,0.33595,0.95957,0.90222,0.82799,0.85981,0.83167,0.37988,0.66954,0.93341,0.000183855,0.000183855,0.000183855
82,1807.74,0.32431,0.31991,0.9691,0.86384,0.81352,0.84431,0.82015,0.35514,0.69105,0.9126,0.000175903,0.000175903,0.000175903
83,1829.26,0.32065,0.31988,0.96281,0.88384,0.82463,0.86229,0.82085,0.33114,0.64109,0.90614,0.000168078,0.000168078,0.000168078
84,1850.95,0.30914,0.30623,0.95968,0.85166,0.84254,0.89318,0.84653,0.34697,0.63324,0.91075,0.000160385,0.000160385,0.000160385
85,1873.2,0.30735,0.30616,0.95752,0.92529,0.80897,0.87205,0.84582,0.28687,0.58878,0.88216,0.000152829,0.000152829,0.000152829
86,1894.48,0.30184,0.28618,0.95409,0.86496,0.85801,0.86748,0.8362,0.29898,0.61529,0.87664,0.000145415,0.000145415,0.000145415
87,1916.67,0.29466,0.29352,0.95533,0.92588,0.82279,0.87962,0.84668,0.28728,0.63478,0.86039,0.000138149,0.000138149,0.000138149
88,1939.16,0.29982,0.30329,0.95733,0.91312,0.84036,0.88216,0.84962,0.32478,0.5161,0.90933,0.000131036,0.000131036,0.000131036
89,1960.55,0.3034,0.29736,0.95772,0.89804,0.78975,0.86921,0.83716,0.31402,0.59199,0.90928,0.000124079,0.000124079,0.000124079
90,1982.89,0.29384,0.29847,0.9557,0.9258,0.79249,0.8696,0.84159,0.28658,0.56639,0.87721,0.000117285,0.000117285,0.000117285
91,2004.67,0.2917,0.29649,0.95346,0.86004,0.81326,0.85849,0.82441,0.28176,0.64129,0.87081,0.000110657,0.000110657,0.000110657
92,2026.16,0.28778,0.29173,0.95507,0.92416,0.82406,0.86669,0.84223,0.29402,0.58482,0.89433,0.000104201,0.000104201,0.000104201
93,2048.22,0.28969,0.28661,0.95372,0.9275,0.82216,0.87042,0.85167,0.27492,0.55998,0.87965,9.79203e-05,9.79203e-05,9.79203e-05
94,2069.69,0.28817,0.28391,0.95787,0.92183,0.80977,0.86992,0.84348,0.27052,0.6031,0.8629,9.18197e-05,9.18197e-05,9.18197e-05
95,2091.84,0.29119,0.29616,0.96389,0.91503,0.8312,0.87362,0.84236,0.28744,0.60075,0.86842,8.59033e-05,8.59033e-05,8.59033e-05
96,2113.92,0.28118,0.2888,0.95013,0.9338,0.84444,0.88099,0.84978,0.28355,0.54627,0.87276,8.01751e-05,8.01751e-05,8.01751e-05
97,2135.19,0.28244,0.27031,0.94943,0.89687,0.82663,0.87652,0.84741,0.29035,0.59196,0.87549,7.46391e-05,7.46391e-05,7.46391e-05
98,2157.37,0.27975,0.26975,0.94783,0.86989,0.81891,0.87829,0.84623,0.29243,0.61536,0.87224,6.92991e-05,6.92991e-05,6.92991e-05
99,2179.08,0.26786,0.26366,0.94615,0.88433,0.82009,0.87567,0.84094,0.30266,0.6131,0.88879,6.41587e-05,6.41587e-05,6.41587e-05
100,2200.29,0.28557,0.27879,0.94651,0.90751,0.81958,0.86844,0.83582,0.2936,0.65397,0.86978,5.92214e-05,5.92214e-05,5.92214e-05
101,2222.25,0.26666,0.25828,0.94272,0.89905,0.83967,0.86798,0.83667,0.29305,0.678,0.8715,5.44906e-05,5.44906e-05,5.44906e-05
102,2243.36,0.26347,0.26335,0.9431,0.90444,0.84699,0.87439,0.84271,0.30509,0.65653,0.88761,4.99697e-05,4.99697e-05,4.99697e-05
103,2265.4,0.2722,0.27051,0.95397,0.89419,0.85246,0.86908,0.83585,0.30411,0.6148,0.89657,4.56616e-05,4.56616e-05,4.56616e-05
104,2287.52,0.27256,0.25826,0.94182,0.89976,0.84276,0.87371,0.83563,0.31626,0.62171,0.90363,4.15693e-05,4.15693e-05,4.15693e-05
105,2308.44,0.26157,0.24534,0.94193,0.9116,0.84102,0.87106,0.83496,0.3069,0.61175,0.90338,3.76956e-05,3.76956e-05,3.76956e-05
106,2330.45,0.25914,0.24979,0.94006,0.92202,0.84013,0.86978,0.84407,0.30265,0.58832,0.8942,3.40433e-05,3.40433e-05,3.40433e-05
107,2351.83,0.26444,0.25814,0.94173,0.91702,0.8412,0.86839,0.83764,0.30049,0.59461,0.88919,3.06147e-05,3.06147e-05,3.06147e-05
108,2373.38,0.27186,0.25666,0.9413,0.90383,0.84527,0.86626,0.83379,0.29172,0.5994,0.88146,2.74122e-05,2.74122e-05,2.74122e-05
109,2395.16,0.26088,0.25204,0.93727,0.89933,0.84098,0.86628,0.83384,0.29675,0.59372,0.88822,2.44381e-05,2.44381e-05,2.44381e-05
110,2416.21,0.25172,0.24252,0.93178,0.90959,0.84241,0.87266,0.84356,0.29282,0.59619,0.8822,2.16943e-05,2.16943e-05,2.16943e-05
111,2440.1,0.18203,0.19272,0.88245,0.89307,0.81387,0.86653,0.82729,0.29373,0.61521,0.87867,1.91828e-05,1.91828e-05,1.91828e-05
112,2461.58,0.168,0.16159,0.8775,0.89657,0.82927,0.86424,0.82551,0.29153,0.60883,0.88254,1.69053e-05,1.69053e-05,1.69053e-05
113,2482.4,0.16986,0.15625,0.87337,0.9027,0.83141,0.86572,0.8287,0.28875,0.61032,0.87253,1.48633e-05,1.48633e-05,1.48633e-05
114,2504.03,0.17063,0.15996,0.87733,0.90661,0.82494,0.85984,0.8274,0.28903,0.60536,0.86765,1.30582e-05,1.30582e-05,1.30582e-05
115,2524.72,0.17199,0.16066,0.87226,0.89236,0.83321,0.86181,0.82775,0.2913,0.59881,0.87344,1.14913e-05,1.14913e-05,1.14913e-05
116,2546.22,0.15962,0.14694,0.86826,0.89928,0.83648,0.87157,0.83543,0.28957,0.58497,0.87196,1.01636e-05,1.01636e-05,1.01636e-05
117,2567.75,0.16364,0.15103,0.87687,0.90163,0.83642,0.87232,0.84086,0.29386,0.58578,0.87395,9.07613e-06,9.07613e-06,9.07613e-06
118,2588.47,0.16832,0.14821,0.88168,0.89843,0.83742,0.87206,0.83914,0.29265,0.58604,0.87813,8.22951e-06,8.22951e-06,8.22951e-06
119,2610.1,0.16004,0.14197,0.87311,0.89889,0.83608,0.87343,0.84031,0.29266,0.58785,0.87983,7.62436e-06,7.62436e-06,7.62436e-06
120,2630.69,0.16458,0.15247,0.87546,0.90152,0.83262,0.86759,0.83645,0.29472,0.57907,0.88375,7.26111e-06,7.26111e-06,7.26111e-06
